Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2020-2021,73,2020-11-07,Sheffield United,Chelsea,False,1,4,H,0,0.5251396648044693
2020-2021,73,2020-11-07,Chelsea,Sheffield United,True,4,1,H,3,2.284916201117318
2020-2021,74,2020-11-07,Fulham,West Ham,False,0,1,H,0,0.9331650081687213
2020-2021,74,2020-11-07,West Ham,Fulham,True,1,0,H,3,1.8131590672805582
2020-2021,75,2020-11-08,Tottenham,West Brom,False,1,0,A,3,2.162671031376702
2020-2021,75,2020-11-08,West Brom,Tottenham,True,0,1,A,0,0.6201632487135873
2020-2021,76,2020-11-08,Wolves,Leicester,False,0,1,H,0,1.1711908064196552
2020-2021,76,2020-11-08,Leicester,Wolves,True,1,0,H,3,1.532593619972261
2020-2021,77,2020-11-08,Liverpool,Man City,False,1,1,D,1,1.0721649484536082
2020-2021,77,2020-11-08,Man City,Liverpool,True,1,1,D,1,1.7000000000000002
2020-2021,78,2020-11-08,Aston Villa,Arsenal,False,3,0,A,3,0.8037448965225961
2020-2021,78,2020-11-08,Arsenal,Aston Villa,True,0,3,A,0,1.9639588906096015
2020-2021,79,2020-11-21,Chelsea,Newcastle,False,2,0,A,3,2.1626490066225164
2020-2021,79,2020-11-21,Newcastle,Chelsea,True,0,2,A,0,0.637615894039735
2020-2021,80,2020-11-21,Brighton,Aston Villa,False,2,1,A,3,1.1514919663351186
2020-2021,80,2020-11-21,Aston Villa,Brighton,True,1,2,A,0,1.58530986993114
2020-2021,81,2020-11-21,Man City,Tottenham,False,0,2,H,0,1.8157894736842106
2020-2021,81,2020-11-21,Tottenham,Man City,True,2,0,H,3,0.9473684210526315
2020-2021,82,2020-11-21,West Brom,Man United,False,0,1,H,0,0.4710801393728222
2020-2021,82,2020-11-21,Man United,West Brom,True,1,0,H,3,2.3567944250871076
2020-2021,83,2020-11-22,Everton,Fulham,False,3,2,A,3,1.782894736842105
2020-2021,83,2020-11-22,Fulham,Everton,True,2,3,A,0,0.9736842105263159
2020-2021,84,2020-11-22,West Ham,Sheffield United,False,1,0,A,3,1.4727272727272727
2020-2021,84,2020-11-22,Sheffield United,West Ham,True,0,1,A,0,1.2363636363636363
2020-2021,85,2020-11-22,Arsenal,Leeds,False,0,0,D,1,1.5459770114942528
2020-2021,85,2020-11-22,Leeds,Arsenal,True,0,0,D,1,1.2011494252873565
2020-2021,86,2020-11-22,Leicester,Liverpool,False,0,3,H,0,0.9865001687478906
2020-2021,86,2020-11-22,Liverpool,Leicester,True,3,0,H,3,1.7762402969962876
2020-2021,87,2020-11-23,Crystal Palace,Burnley,False,0,1,H,0,1.346368715083799
2020-2021,87,2020-11-23,Burnley,Crystal Palace,True,1,0,H,3,1.346368715083799
2020-2021,88,2020-11-23,Southampton,Wolves,False,1,1,D,1,1.1719745222929936
2020-2021,88,2020-11-23,Wolves,Southampton,True,1,1,D,1,1.5350318471337578
2020-2021,89,2020-11-27,Newcastle,Crystal Palace,False,2,0,A,3,1.042863871879416
2020-2021,89,2020-11-27,Crystal Palace,Newcastle,True,0,2,A,0,1.6674517192651912
2020-2021,90,2020-11-28,Liverpool,Brighton,False,1,1,D,1,2.033316809726317
2020-2021,90,2020-11-28,Brighton,Liverpool,True,1,1,D,1,0.7413968535573587
2020-2021,91,2020-11-28,Burnley,Man City,False,0,5,H,0,0.3032731223685997
2020-2021,91,2020-11-28,Man City,Burnley,True,5,0,H,3,2.570691294309385
2020-2021,92,2020-11-28,Leeds,Everton,False,1,0,A,3,1.0405549626467447
2020-2021,92,2020-11-28,Everton,Leeds,True,0,1,A,0,1.709711846318036
2020-2021,93,2020-11-28,Sheffield United,West Brom,False,0,1,H,0,1.3127035830618892
2020-2021,93,2020-11-28,West Brom,Sheffield United,True,1,0,H,3,1.3908794788273613
2020-2021,94,2020-11-29,Man United,Southampton,False,3,2,A,3,1.7397379912663755
2020-2021,94,2020-11-29,Southampton,Man United,True,2,3,A,0,0.9877729257641921
2020-2021,95,2020-11-29,Tottenham,Chelsea,False,0,0,D,1,1.064444853618118
2020-2021,95,2020-11-29,Chelsea,Tottenham,True,0,0,D,1,1.6637819922666173
2020-2021,96,2020-11-29,Wolves,Arsenal,False,2,1,A,3,1.0434187722338777
2020-2021,96,2020-11-29,Arsenal,Wolves,True,1,2,A,0,1.6760923104989511
2020-2021,97,2020-11-30,Fulham,Leicester,False,2,1,A,3,0.6585942779905385
2020-2021,97,2020-11-30,Leicester,Fulham,True,1,2,A,0,2.121761658031088
2020-2021,98,2020-11-30,Aston Villa,West Ham,False,1,2,H,0,1.2105263157894737
2020-2021,98,2020-11-30,West Ham,Aston Villa,True,2,1,H,3,1.526315789473684
2020-2021,99,2020-12-05,Everton,Burnley,False,1,1,D,1,1.7557522123893805
2020-2021,99,2020-12-05,Burnley,Everton,True,1,1,D,1,0.9752212389380531
2020-2021,100,2020-12-05,Fulham,Man City,False,0,2,H,0,0.2363636363636364
2020-2021,100,2020-12-05,Man City,Fulham,True,2,0,H,3,2.6772727272727272
2020-2021,101,2020-12-05,Man United,West Ham,False,3,1,A,3,1.6842105263157894
2020-2021,101,2020-12-05,West Ham,Man United,True,1,3,A,0,1.0526315789473684
2020-2021,102,2020-12-05,Leeds,Chelsea,False,1,3,H,0,0.6842105263157894
2020-2021,102,2020-12-05,Chelsea,Leeds,True,3,1,H,3,2.1052631578947367
2020-2021,103,2020-12-06,Crystal Palace,West Brom,False,5,1,A,3,1.4139077546882919
2020-2021,103,2020-12-06,West Brom,Crystal Palace,True,1,5,A,0,1.289346173340091
2020-2021,104,2020-12-06,Leicester,Sheffield United,False,2,1,A,3,1.7181768658071543
2020-2021,104,2020-12-06,Sheffield United,Leicester,True,1,2,A,0,1.012711094970038
2020-2021,105,2020-12-06,Arsenal,Tottenham,False,0,2,H,0,1.0128068303094984
2020-2021,105,2020-12-06,Tottenham,Arsenal,True,2,0,H,3,1.72358591248666
2020-2021,106,2020-12-06,Wolves,Liverpool,False,0,4,H,0,0.6585942779905385
2020-2021,106,2020-12-06,Liverpool,Wolves,True,4,0,H,3,2.121761658031088
2020-2021,107,2020-12-07,Southampton,Brighton,False,2,1,A,3,1.26882783158727
2020-2021,107,2020-12-07,Brighton,Southampton,True,1,2,A,0,1.4502866179086773
2020-2021,108,2020-12-11,West Ham,Leeds,False,2,1,A,3,1.170180145649674
2020-2021,108,2020-12-11,Leeds,West Ham,True,1,2,A,0,1.5743579915676504
2020-2021,109,2020-12-12,Aston Villa,Wolves,False,1,0,A,3,1.1612903225806452
2020-2021,109,2020-12-12,Wolves,Aston Villa,True,0,1,A,0,1.5483870967741933
2020-2021,110,2020-12-12,West Brom,Newcastle,False,1,2,H,0,1.2452601855586931
2020-2021,110,2020-12-12,Newcastle,West Brom,True,2,1,H,3,1.4582492940701897
2020-2021,111,2020-12-12,Man City,Man United,False,0,0,D,1,1.8871007012076353
2020-2021,111,2020-12-12,Man United,Man City,True,0,0,D,1,0.8862363654070899
2020-2021,112,2020-12-12,Chelsea,Everton,False,0,1,H,0,1.894300486431915
2020-2021,112,2020-12-12,Everton,Chelsea,True,1,0,H,3,0.8805029522440113
2020-2021,113,2020-12-13,Sheffield United,Southampton,False,0,3,H,0,0.8215613382899627
2020-2021,113,2020-12-13,Southampton,Sheffield United,True,3,0,H,3,1.9256505576208178
2020-2021,114,2020-12-13,Tottenham,Crystal Palace,False,1,1,D,1,1.8873054565910372
2020-2021,114,2020-12-13,Crystal Palace,Tottenham,True,1,1,D,1,0.8708044252765799
2020-2021,115,2020-12-13,Liverpool,Fulham,False,1,1,D,1,2.3438185808339433
2020-2021,115,2020-12-13,Fulham,Liverpool,True,1,1,D,1,0.48500365764447706
2020-2021,116,2020-12-13,Burnley,Arsenal,False,1,0,A,3,0.6828012358393409
2020-2021,116,2020-12-13,Arsenal,Burnley,True,0,1,A,0,2.090805781455308
2020-2021,117,2020-12-13,Brighton,Leicester,False,0,3,H,0,1.025089605734767
2020-2021,117,2020-12-13,Leicester,Brighton,True,3,0,H,3,1.7025089605734767
2020-2021,118,2020-12-15,Chelsea,Wolves,False,1,2,H,0,1.960512395276356
2020-2021,118,2020-12-15,Wolves,Chelsea,True,2,1,H,3,0.790295370714551
2020-2021,119,2020-12-15,West Brom,Man City,False,1,1,D,1,0.22137806529261317
2020-2021,119,2020-12-15,Man City,West Brom,True,1,1,D,1,2.692530464871371
2020-2021,120,2020-12-16,Southampton,Arsenal,False,1,1,D,1,1.1906614785992216
2020-2021,120,2020-12-16,Arsenal,Southampton,True,1,1,D,1,1.5379377431906613
2020-2021,121,2020-12-16,Newcastle,Leeds,False,2,5,H,0,0.8959166078846303
2020-2021,121,2020-12-16,Leeds,Newcastle,True,5,2,H,3,1.8665255897797632
2020-2021,122,2020-12-16,Everton,Leicester,False,2,0,A,3,1.1430328256550941
2020-2021,122,2020-12-16,Leicester,Everton,True,0,2,A,0,1.592564563428247
2020-2021,123,2020-12-16,Brighton,Fulham,False,0,0,D,1,1.4294665809768639
2020-2021,123,2020-12-16,Fulham,Brighton,True,0,0,D,1,1.2823345115681235
2020-2021,124,2020-12-16,Tottenham,Liverpool,False,1,2,H,0,0.8798418972332017
2020-2021,124,2020-12-16,Liverpool,Tottenham,True,2,1,H,3,1.871146245059289
2020-2021,125,2020-12-16,Crystal Palace,West Ham,False,1,1,D,1,1.0639338097028956
2020-2021,125,2020-12-16,West Ham,Crystal Palace,True,1,1,D,1,1.6585182399398268
2020-2021,126,2020-12-17,Burnley,Aston Villa,False,0,0,D,1,0.8798418972332017
2020-2021,126,2020-12-17,Aston Villa,Burnley,True,0,0,D,1,1.871146245059289
2020-2021,127,2020-12-17,Man United,Sheffield United,False,3,2,A,3,2.1814166530345167
2020-2021,127,2020-12-17,Sheffield United,Man United,True,2,3,A,0,0.6124652380173401
2020-2021,128,2020-12-19,Liverpool,Crystal Palace,False,7,0,A,3,2.121761658031088
2020-2021,128,2020-12-19,Crystal Palace,Liverpool,True,0,7,A,0,0.6585942779905385
2020-2021,129,2020-12-19,Man City,Southampton,False,1,0,A,3,2.1760299625468162
2020-2021,129,2020-12-19,Southampton,Man City,True,0,1,A,0,0.6142322097378277
2020-2021,130,2020-12-19,Arsenal,Everton,False,1,2,H,0,1.29126213592233
2020-2021,130,2020-12-19,Everton,Arsenal,True,2,1,H,3,1.436893203883495
2020-2021,131,2020-12-19,Fulham,Newcastle,False,1,1,D,1,1.275201612903226
2020-2021,131,2020-12-19,Newcastle,Fulham,True,1,1,D,1,1.432459677419355
2020-2021,132,2020-12-20,Sheffield United,Brighton,False,1,1,D,1,0.7701149425287355
2020-2021,132,2020-12-20,Brighton,Sheffield United,True,1,1,D,1,1.9770114942528734
2020-2021,133,2020-12-20,Leicester,Tottenham,False,2,0,A,3,1.064444853618118
2020-2021,133,2020-12-20,Tottenham,Leicester,True,0,2,A,0,1.6637819922666173
2020-2021,134,2020-12-20,Leeds,Man United,False,2,6,H,0,0.8503520507984115
2020-2021,134,2020-12-20,Man United,Leeds,True,6,2,H,3,1.930860972152255
2020-2021,135,2020-12-20,Aston Villa,West Brom,False,3,0,A,3,1.709711846318036
2020-2021,135,2020-12-20,West Brom,Aston Villa,True,0,3,A,0,1.0405549626467447
2020-2021,136,2020-12-21,Wolves,Burnley,False,1,2,H,0,1.5948522402287895
2020-2021,136,2020-12-21,Burnley,Wolves,True,2,1,H,3,1.1115347950428982
2020-2021,137,2020-12-21,West Ham,Chelsea,False,0,3,H,0,0.6448893572181245
2020-2021,137,2020-12-21,Chelsea,West Ham,True,3,0,H,3,2.1654373024236038
2020-2021,138,2020-12-26,Man United,Leicester,False,2,2,D,1,1.4962583694367861
2020-2021,138,2020-12-26,Leicester,Man United,True,2,2,D,1,1.2410397794407246
2020-2021,139,2020-12-26,Crystal Palace,Aston Villa,False,0,3,H,0,1.0
2020-2021,139,2020-12-26,Aston Villa,Crystal Palace,True,3,0,H,3,1.7475083056478407
2020-2021,140,2020-12-26,Southampton,Fulham,False,0,0,D,1,1.5303802430419446
2020-2021,140,2020-12-26,Fulham,Southampton,True,0,0,D,1,1.1811054488435908
2020-2021,141,2020-12-26,Chelsea,Arsenal,False,1,3,H,0,1.7614424410540916
2020-2021,141,2020-12-26,Arsenal,Chelsea,True,3,1,H,3,0.9750346740638003
2020-2021,142,2020-12-26,Newcastle,Man City,False,0,2,H,0,0.24479049462172017
2020-2021,142,2020-12-26,Man City,Newcastle,True,2,0,H,3,2.6602907421576125
2020-2021,143,2020-12-26,Everton,Sheffield United,False,1,0,A,3,1.7979695431472082
2020-2021,143,2020-12-26,Sheffield United,Everton,True,0,1,A,0,0.9390862944162438
2020-2021,144,2020-12-27,Burnley,Leeds,False,0,1,H,0,0.8875112172802992
2020-2021,144,2020-12-27,Leeds,Burnley,True,1,0,H,3,1.8771597214322733
2020-2021,145,2020-12-27,Brighton,West Ham,False,2,2,D,1,1.2000784621420166
2020-2021,145,2020-12-27,West Ham,Brighton,True,2,2,D,1,1.520204001569243
2020-2021,146,2020-12-27,West Brom,Liverpool,False,1,1,D,1,0.24479049462172017
2020-2021,146,2020-12-27,Liverpool,West Brom,True,1,1,D,1,2.6602907421576125
2020-2021,147,2020-12-27,Tottenham,Wolves,False,1,1,D,1,1.6210386907577332
2020-2021,147,2020-12-27,Wolves,Tottenham,True,1,1,D,1,1.0860845709961215
2020-2021,148,2020-12-28,Leicester,Crystal Palace,False,1,1,D,1,1.69683257918552
2020-2021,148,2020-12-28,Crystal Palace,Leicester,True,1,1,D,1,1.0316742081447963
2020-2021,149,2020-12-28,Aston Villa,Chelsea,False,1,1,D,1,0.7912431587177484
2020-2021,149,2020-12-28,Chelsea,Aston Villa,True,1,1,D,1,1.9839718530101642
2020-2021,150,2020-12-29,Arsenal,Brighton,False,1,0,A,3,1.5738798856053384
2020-2021,150,2020-12-29,Brighton,Arsenal,True,0,1,A,0,1.1534795042897998
2020-2021,151,2020-12-29,Sheffield United,Burnley,False,0,1,H,0,1.1838444546160125
2020-2021,151,2020-12-29,Burnley,Sheffield United,True,1,0,H,3,1.5095822802443832
2020-2021,152,2020-12-29,West Ham,Southampton,False,0,0,D,1,1.1069042316258353
2020-2021,152,2020-12-29,Southampton,West Ham,True,0,0,D,1,1.6280623608017817
2020-2021,153,2020-12-29,Leeds,West Brom,False,5,0,A,3,1.6842105263157894
2020-2021,153,2020-12-29,West Brom,Leeds,True,0,5,A,0,1.0526315789473684
2020-2021,154,2020-12-29,Wolves,Man United,False,0,1,H,0,0.6828012358393409
2020-2021,154,2020-12-29,Man United,Wolves,True,1,0,H,3,2.090805781455308
2020-2021,155,2020-12-30,Liverpool,Newcastle,False,0,0,D,1,2.444444444444444
2020-2021,155,2020-12-30,Newcastle,Liverpool,True,0,0,D,1,0.3968253968253968
