Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2019-2020,90,2019-10-21,Sheffield United,Arsenal,True,1,0,H,3,0.9871399176954734
2019-2020,91,2019-10-25,Leicester,Southampton,False,9,0,A,3,1.5202040015692426
2019-2020,91,2019-10-25,Southampton,Leicester,True,0,9,A,0,1.2000784621420162
2019-2020,92,2019-10-26,Aston Villa,Man City,False,0,3,H,0,0.19548410847956807
2019-2020,92,2019-10-26,Man City,Aston Villa,True,3,0,H,3,2.7183703521904525
2019-2020,93,2019-10-26,Everton,Brighton,False,2,3,H,0,1.432459677419355
2019-2020,93,2019-10-26,Brighton,Everton,True,3,2,H,3,1.275201612903226
2019-2020,94,2019-10-26,Bournemouth,Watford,False,0,0,D,1,1.1430328256550941
2019-2020,94,2019-10-26,Watford,Bournemouth,True,0,0,D,1,1.592564563428247
2019-2020,95,2019-10-26,Sheffield United,West Ham,False,1,1,D,1,1.090909090909091
2019-2020,95,2019-10-26,West Ham,Sheffield United,True,1,1,D,1,1.6363636363636365
2019-2020,96,2019-10-26,Chelsea,Burnley,False,4,2,A,3,1.8927038626609445
2019-2020,96,2019-10-26,Burnley,Chelsea,True,2,4,A,0,0.8700183936235437
2019-2020,97,2019-10-27,Wolves,Newcastle,False,1,1,D,1,1.4302957151478577
2019-2020,97,2019-10-27,Newcastle,Wolves,True,1,1,D,1,1.2619191309595654
2019-2020,98,2019-10-27,Crystal Palace,Arsenal,False,2,2,D,1,0.637615894039735
2019-2020,98,2019-10-27,Arsenal,Crystal Palace,True,2,2,D,1,2.1626490066225164
2019-2020,99,2019-10-27,Tottenham,Liverpool,False,1,2,H,0,0.6585942779905385
2019-2020,99,2019-10-27,Liverpool,Tottenham,True,2,1,H,3,2.121761658031088
2019-2020,100,2019-10-27,Man United,Norwich,False,3,1,A,3,1.8665255897797632
2019-2020,100,2019-10-27,Norwich,Man United,True,1,3,A,0,0.8959166078846303
2019-2020,101,2019-11-02,Man United,Bournemouth,False,0,1,H,0,1.592564563428247
2019-2020,101,2019-11-02,Bournemouth,Man United,True,1,0,H,3,1.1430328256550941
2019-2020,102,2019-11-02,Wolves,Arsenal,False,1,1,D,1,0.8565965583173998
2019-2020,102,2019-11-02,Arsenal,Wolves,True,1,1,D,1,1.8891013384321225
2019-2020,103,2019-11-02,Liverpool,Aston Villa,False,2,1,A,3,2.3101226029550457
2019-2020,103,2019-11-02,Aston Villa,Liverpool,True,1,2,A,0,0.5017290160326942
2019-2020,104,2019-11-02,Norwich,Brighton,False,0,2,H,0,0.8862363654070899
2019-2020,104,2019-11-02,Brighton,Norwich,True,2,0,H,3,1.8871007012076353
2019-2020,105,2019-11-02,Southampton,Man City,False,1,2,H,0,0.19655131547760132
2019-2020,105,2019-11-02,Man City,Southampton,True,2,1,H,3,2.7305344868452237
2019-2020,106,2019-11-02,Burnley,Sheffield United,False,0,3,H,0,1.136805285658764
2019-2020,106,2019-11-02,Sheffield United,Burnley,True,3,0,H,3,1.5658764088612511
2019-2020,107,2019-11-02,Newcastle,West Ham,False,3,2,A,3,0.8798418972332017
2019-2020,107,2019-11-02,West Ham,Newcastle,True,2,3,A,0,1.871146245059289
2019-2020,108,2019-11-02,Chelsea,Watford,False,2,1,A,3,1.9906575441830532
2019-2020,108,2019-11-02,Watford,Chelsea,True,1,2,A,0,0.7898247403282678
2019-2020,109,2019-11-03,Leicester,Crystal Palace,False,2,0,A,3,1.631299734748011
2019-2020,109,2019-11-03,Crystal Palace,Leicester,True,0,2,A,0,1.090185676392573
2019-2020,110,2019-11-03,Tottenham,Everton,False,1,1,D,1,1.380191693290735
2019-2020,110,2019-11-03,Everton,Tottenham,True,1,1,D,1,1.3394568690095847
2019-2020,111,2019-11-08,Watford,Norwich,False,2,0,A,3,1.394893111638955
2019-2020,111,2019-11-08,Norwich,Watford,True,0,2,A,0,1.3325415676959618
2019-2020,112,2019-11-09,Crystal Palace,Chelsea,False,0,2,H,0,0.47533952823445325
2019-2020,112,2019-11-09,Chelsea,Crystal Palace,True,2,0,H,3,2.3345246604717653
2019-2020,113,2019-11-09,West Ham,Burnley,False,0,3,H,0,1.1906614785992216
2019-2020,113,2019-11-09,Burnley,West Ham,True,3,0,H,3,1.5379377431906613
2019-2020,114,2019-11-09,Bournemouth,Newcastle,False,1,2,H,0,1.3047599633064928
2019-2020,114,2019-11-09,Newcastle,Bournemouth,True,2,1,H,3,1.404138212210784
2019-2020,115,2019-11-09,Everton,Southampton,False,2,1,A,3,1.446486268174475
2019-2020,115,2019-11-09,Southampton,Everton,True,1,2,A,0,1.2665589660743135
2019-2020,116,2019-11-09,Sheffield United,Tottenham,False,1,1,D,1,0.7118387909319899
2019-2020,116,2019-11-09,Tottenham,Sheffield United,True,1,1,D,1,2.0508816120906803
2019-2020,117,2019-11-09,Arsenal,Leicester,False,0,2,H,0,1.067873303167421
2019-2020,117,2019-11-09,Leicester,Arsenal,True,2,0,H,3,1.6787330316742084
2019-2020,118,2019-11-10,Brighton,Man United,False,1,3,H,0,0.6965052115266709
2019-2020,118,2019-11-10,Man United,Brighton,True,3,1,H,3,2.048436541998774
2019-2020,119,2019-11-10,Aston Villa,Wolves,False,1,2,H,0,0.9522673031026253
2019-2020,119,2019-11-10,Wolves,Aston Villa,True,2,1,H,3,1.775656324582339
2019-2020,120,2019-11-10,Man City,Liverpool,False,1,3,H,0,1.3429669361940597
2019-2020,120,2019-11-10,Liverpool,Man City,True,3,1,H,3,1.3948442878872789
2019-2020,121,2019-11-23,Tottenham,West Ham,False,3,2,A,3,1.8875393887478205
2019-2020,121,2019-11-23,West Ham,Tottenham,True,2,3,A,0,0.8940251476122005
2019-2020,122,2019-11-23,Southampton,Arsenal,False,2,2,D,1,0.637615894039735
2019-2020,122,2019-11-23,Arsenal,Southampton,True,2,2,D,1,2.1626490066225164
2019-2020,123,2019-11-23,Wolves,Bournemouth,False,2,1,A,3,1.3858093126385809
2019-2020,123,2019-11-23,Bournemouth,Wolves,True,1,2,A,0,1.3259423503325942
2019-2020,124,2019-11-23,Leicester,Brighton,False,2,0,A,3,1.69683257918552
2019-2020,124,2019-11-23,Brighton,Leicester,True,0,2,A,0,1.0316742081447963
2019-2020,125,2019-11-23,Liverpool,Crystal Palace,False,2,1,A,3,2.2240644244433923
2019-2020,125,2019-11-23,Crystal Palace,Liverpool,True,1,2,A,0,0.5769777356702985
2019-2020,126,2019-11-23,Norwich,Everton,False,2,0,A,3,0.5406032482598608
2019-2020,126,2019-11-23,Everton,Norwich,True,0,2,A,0,2.273781902552204
2019-2020,127,2019-11-23,Burnley,Watford,False,3,0,A,3,1.2000784621420166
2019-2020,127,2019-11-23,Watford,Burnley,True,0,3,A,0,1.520204001569243
2019-2020,128,2019-11-23,Chelsea,Man City,False,1,2,H,0,0.6310640032613128
2019-2020,128,2019-11-23,Man City,Chelsea,True,2,1,H,3,2.1781492050550346
2019-2020,129,2019-11-24,Man United,Sheffield United,False,3,3,D,1,1.631299734748011
2019-2020,129,2019-11-24,Sheffield United,Man United,True,3,3,D,1,1.090185676392573
2019-2020,130,2019-11-25,Newcastle,Aston Villa,False,0,2,H,0,1.0501197715128063
2019-2020,130,2019-11-25,Aston Villa,Newcastle,True,2,0,H,3,1.6703519439837848
2019-2020,131,2019-11-30,Man City,Newcastle,False,2,2,D,1,2.548145839825491
2019-2020,131,2019-11-30,Newcastle,Man City,True,2,2,D,1,0.33437207852913675
2019-2020,132,2019-11-30,Crystal Palace,Burnley,False,2,0,A,3,1.1531664212076584
2019-2020,132,2019-11-30,Burnley,Crystal Palace,True,0,2,A,0,1.5552282768777614
2019-2020,133,2019-11-30,West Ham,Chelsea,False,1,0,A,3,0.4721311475409836
2019-2020,133,2019-11-30,Chelsea,West Ham,True,0,1,A,0,2.3704918032786884
2019-2020,134,2019-11-30,Brighton,Liverpool,False,1,2,H,0,0.3243738546120952
2019-2020,134,2019-11-30,Liverpool,Brighton,True,2,1,H,3,2.540470372632865
2019-2020,135,2019-11-30,Bournemouth,Tottenham,False,2,3,H,0,0.553877481758018
2019-2020,135,2019-11-30,Tottenham,Bournemouth,True,3,2,H,3,2.273035805192601
2019-2020,136,2019-11-30,Watford,Southampton,False,1,2,H,0,1.090185676392573
2019-2020,136,2019-11-30,Southampton,Watford,True,2,1,H,3,1.631299734748011
