player_name,team_id,season,beta_unavailable,se_unavailable,pvalue_unavailable,n_matches,n_unavail,n_avail,cov_type,n_opp_clusters
Abdul Rahman Baba,Chelsea,2021,-0.1121974691862338,0.2217758782090611,0.6129235208912858,38,5,33,cluster,19
Abdul Rahman Baba,Chelsea,2022,-0.01808202256735513,0.2379336082078957,0.9394222133991387,33,20,13,cluster,18
Aboubakar Kamara,Fulham,2020,0.10555993889210627,0.2495944630538038,0.6723493956723199,38,18,20,cluster,19
Adalberto Peñaranda,Watford,2019,0.12696709292519476,0.367480683246443,0.7297133622102352,38,10,28,cluster,19
Adam Forshaw,Leeds,2021,-0.011062990912354742,0.15127402777153892,0.9417009790713943,34,17,17,cluster,18
Adam Idah,Norwich,2019,0.08133206286565489,0.40024777240679305,0.838975362880491,38,7,31,cluster,19
Adam Lallana,Brighton,2020,0.00854475573178251,0.3256411882011761,0.9790660805894155,38,25,13,cluster,19
Adam Lallana,Brighton,2021,0.02483621215610856,0.2734493567837089,0.9276311384559374,35,18,17,cluster,18
Adam Lallana,Brighton,2022,0.06045549369287205,0.42968920883883027,0.8881102141076248,29,9,20,cluster,18
Adam Smith,Bournemouth,2019,-0.24647582247045768,0.4367145445857482,0.5724910789718566,38,26,12,cluster,19
Adam Smith,Bournemouth,2024,0.020652213737258784,0.34973095738809656,0.9529109152476488,31,9,22,cluster,18
Adam Webster,Brighton,2019,-0.24564382139084806,0.28448155467087577,0.3878742127135185,38,22,16,cluster,19
Adam Webster,Brighton,2020,-0.28979685468770966,0.3444261161050092,0.4001292177310951,36,21,15,cluster,19
Adam Webster,Brighton,2021,-0.0021549416388617387,0.38629489047708593,0.995549033166855,29,22,7,cluster,17
Adam Webster,Brighton,2022,-0.3434342188969034,0.27445450877502564,0.21081269812139858,24,11,13,cluster,17
Adam Webster,Brighton,2023,0.12858708967191768,1.0308758237252484,0.9007327381566441,23,6,17,cluster,17
Adam Webster,Brighton,2024,-0.42876112150987344,0.33584990182228774,0.20172758231772503,27,10,17,cluster,17
Adam Wharton,Crystal Palace,2023,0.20607153680879528,0.5242739313832459,0.6942745674695441,38,20,18,cluster,19
Adam Wharton,Crystal Palace,2024,0.1058585746571481,0.4626338228524104,0.8190109999590169,34,17,17,cluster,18
Adama Traoré,Fulham,2023,0.14514685108537492,0.4180206209333426,0.7284229357580907,38,26,12,cluster,19
Adama Traoré,Fulham,2024,-0.5648700426427425,0.37798093447430076,0.13506050472476216,35,4,31,cluster,19
Adama Traoré,Wolves,2019,0.1940400825367068,0.28713871416864106,0.49918590251682193,38,4,34,cluster,19
Adama Traoré,Wolves,2022,0.36432385761307023,0.47662631218969354,0.4446405273606471,29,2,27,cluster,17
Admiral Muskwe,Luton,2023,0.014895994149775438,0.31477029493777164,0.9622554947395299,38,26,12,cluster,19
Adnan Kanuric,Nott'm Forest,2022,0.0481579790652962,0.26366143775772205,0.8550720026905587,38,6,32,cluster,19
Adrián,Liverpool,2020,-0.3074541095581184,0.18384193934682797,0.09444884841902325,38,12,26,cluster,19
Adrián,Liverpool,2021,0.07311099043162606,0.3715352728759266,0.8439991141991371,34,20,14,cluster,18
Adrián Bernabé,Man City,2020,-0.14901463817268804,0.20956750588006812,0.4770483347884338,38,16,22,cluster,19
Ainsley Maitland-Niles,Arsenal,2019,-0.15545221784643148,0.4464946919564754,0.727718973388946,38,2,36,cluster,19
Ainsley Maitland-Niles,Arsenal,2020,0.10809262260512825,0.2649718774043324,0.6833177392877963,34,6,28,cluster,18
Ainsley Maitland-Niles,Arsenal,2022,-0.2723255925426198,1.122405048030434,0.808294485319276,28,8,20,cluster,17
Ainsley Maitland-Niles,Southampton,2022,0.0029934975303653882,0.31302739212641195,0.9923699039832543,38,11,27,cluster,19
