player_id,team_id,season,beta_unavailable,se_unavailable,n_matches,n_unavail,n_avail,xpts_per_match_present,xpts_season_total
Mamadou Sakho,Crystal Palace,2019,0.07469372334700901,,36,9,27,-0.07469372334700901,-2.688974040492324
Mamadou Sakho,Crystal Palace,2020,0.14742487218087263,,38,15,23,-0.14742487218087263,-5.602145142873161
Martin Kelly,Crystal Palace,2019,0.13734362174932901,,36,6,30,-0.13734362174932901,-4.944370382975844
Martin Kelly,Crystal Palace,2020,0.1340564443497837,,38,19,19,-0.1340564443497837,-5.09414488529178
Matheus França,Crystal Palace,2023,0.023714661411371768,,38,11,27,-0.023714661411371768,-0.9011571336321271
Matheus França,Crystal Palace,2024,0.010193353394192181,,34,21,13,-0.010193353394192181,-0.3465740154025342
Matty Cash,Aston Villa,2021,-0.01834644754538602,,38,5,33,0.01834644754538602,0.6971650067246687
Matty Cash,Aston Villa,2022,0.050498367626808156,,33,5,28,-0.050498367626808156,-1.6664461316846693
Matty Cash,Aston Villa,2023,0.39748140737823245,,30,2,28,-0.39748140737823245,-11.924442221346974
Matty Cash,Aston Villa,2024,0.08286823880351155,,29,9,20,-0.08286823880351155,-2.4031789253018347
Max Meyer,Crystal Palace,2019,0.09132422680264557,,36,3,33,-0.09132422680264557,-3.2876721648952403
Max Meyer,Crystal Palace,2020,0.08752242056894309,,38,3,35,-0.08752242056894309,-3.3258519816198375
Morgan Sanson,Aston Villa,2020,0.180675654931337,,38,29,9,-0.180675654931337,-6.865674887390806
Morgan Sanson,Aston Villa,2021,-0.03644943279154349,,36,14,22,0.03644943279154349,1.3121795804955656
Naouirou Ahamada,Crystal Palace,2022,-0.061922819556481073,,35,7,28,0.061922819556481073,2.1672986844768376
Naouirou Ahamada,Crystal Palace,2023,-0.007631730849334328,,38,14,24,0.007631730849334328,0.2900057722747045
Nathan Ferguson,Crystal Palace,2020,0.06048507532772254,,34,25,9,-0.06048507532772254,-2.0564925611425666
Nathan Ferguson,Crystal Palace,2021,-0.07758308472028802,,38,14,24,0.07758308472028802,2.9481572193709447
Nathan Ferguson,Crystal Palace,2022,0.014674671322815747,,32,9,23,-0.014674671322815747,-0.4695894823301039
Nicolò Zaniolo,Aston Villa,2024,-0.33720087975059304,,38,2,36,0.33720087975059304,12.813633430522536
Ollie Watkins,Aston Villa,2024,-0.1509984213771094,,38,11,27,0.1509984213771094,5.7379400123301565
Patrick van Aanholt,Crystal Palace,2019,0.1420686261343837,,38,22,16,-0.1420686261343837,-5.398607793106581
Patrick van Aanholt,Crystal Palace,2020,0.03731551122512569,,36,4,32,-0.03731551122512569,-1.3433584041045248
Pau Torres,Aston Villa,2024,0.0957974886670679,,38,9,29,-0.0957974886670679,-3.6403045693485803
Philippe Coutinho,Aston Villa,2021,0.08780560892761853,,33,3,30,-0.08780560892761853,-2.8975850946114114
Philippe Coutinho,Aston Villa,2022,0.010909798533403875,,38,15,23,-0.010909798533403875,-0.41457234426934725
Philippe Coutinho,Aston Villa,2023,0.16232327890045867,,28,9,19,-0.16232327890045867,-4.5450518092128425
Ross Barkley,Aston Villa,2020,0.051729521261080685,,38,9,29,-0.051729521261080685,-1.965721807921066
Ross Barkley,Aston Villa,2024,-0.06649000982599265,,35,9,26,0.06649000982599265,2.327150343909743
Sam Johnstone,Crystal Palace,2023,-0.04997558431200715,,34,10,24,0.04997558431200715,1.699169866608243
Sam Johnstone,Crystal Palace,2024,-0.06987085327145669,,38,2,36,0.06987085327145669,2.655092424315354
Scott Dann,Crystal Palace,2019,0.04935069194459178,,38,17,21,-0.04935069194459178,-1.8753262938944877
Scott Dann,Crystal Palace,2020,0.08079503059386811,,36,3,33,-0.08079503059386811,-2.908621101379252
Tom Heaton,Aston Villa,2019,0.016372884679856255,,37,4,33,-0.016372884679856255,-0.6057967331546814
Tom Heaton,Aston Villa,2020,-0.03010657915026213,,38,7,31,0.03010657915026213,1.144050007709961
Trevoh Chalobah,Crystal Palace,2024,0.03882389562935021,,38,6,32,-0.03882389562935021,-1.475308033915308
Tyrick Mitchell,Crystal Palace,2019,0.03829928412569371,,36,4,32,-0.03829928412569371,-1.3787742285249736
Tyrick Mitchell,Crystal Palace,2020,0.1558294475979827,,38,5,33,-0.1558294475979827,-5.921519008723343
Tyrone Mings,Aston Villa,2019,-0.009333969215612137,,38,19,19,0.009333969215612137,0.3546908301932612
Tyrone Mings,Aston Villa,2023,0.09230492638452673,,34,21,13,-0.09230492638452673,-3.138367497073909
Tyrone Mings,Aston Villa,2024,0.08829043769132758,,33,7,26,-0.08829043769132758,-2.91358444381381
Víctor Camarasa,Crystal Palace,2019,-0.016918415598195395,,38,2,36,0.016918415598195395,0.6428997927314251
Wayne Hennessey,Crystal Palace,2020,0.24348159723202642,,38,20,18,-0.24348159723202642,-9.252300694817004
Wesley Moraes,Aston Villa,2020,-0.0014079083379876928,,38,15,23,0.0014079083379876928,0.053500516843532325
Wilfried Zaha,Crystal Palace,2022,0.01773066812225591,,29,2,27,-0.01773066812225591,-0.5141893755454213
Will Hughes,Crystal Palace,2024,0.17855621080313042,,38,19,19,-0.17855621080313042,-6.785136010518956
Youri Tielemans,Aston Villa,2023,0.03570310174066308,,35,26,9,-0.03570310174066308,-1.2496085609232077
Youri Tielemans,Aston Villa,2024,-0.1272374803808774,,38,14,24,0.1272374803808774,4.835024254473341
Álex Moreno,Aston Villa,2023,-0.2820417641263336,,38,4,34,0.2820417641263336,10.717587036800676
Ørjan Nyland,Aston Villa,2020,0.04065369188790499,,38,19,19,-0.04065369188790499,-1.5448402917403896
