player_name,team_id,season,beta_unavailable,se_unavailable,n_matches,n_unavail,n_avail,xpts_per_match_present,xpts_season_total,gbp_per_point,value_gbp_per_match,value_gbp_season_total
Albert Sambi Lokonga,Arsenal,2023,0.06454872714566268,0.3265763215660517,29,10,19,-0.06454872714566268,-1.8719130872242176,2692249.527410207,-173781.28015284074,-5039657.124432381
Albert Sambi Lokonga,Luton,2023,0.04407238484107931,0.23465271060577056,38,14,24,-0.04407238484107931,-1.6747506239610137,2692249.527410207,-118653.85726023653,-4508846.575888989
Alejandro Garnacho,Man United,2022,-0.3477006341930797,0.38583648185389485,38,7,31,0.3477006341930797,13.21262409933703,2490503.323836657,865949.5851579787,32906084.23600319
Alejo Veliz,Tottenham,2023,-0.21522903930723136,0.34771404524327876,38,18,20,0.21522903930723136,8.178703493674792,2692249.527410207,579450.2793598465,22019110.615674168
Alex Cochrane,Brighton,2020,-0.19353089299892046,0.2650923001254011,38,4,34,0.19353089299892046,7.354173933958977,2397918.6376537364,464071.3352838824,17634710.74078753
Alex Iwobi,Everton,2019,-0.052818430215661114,0.24761342500559366,38,11,27,0.052818430215661114,2.0071003481951224,2498950.381679389,131990.63634713253,5015644.181191036
Alex Iwobi,Everton,2020,-0.626544090253101,0.9442697704198348,32,18,14,0.626544090253101,20.04941088809923,2397918.6376537364,1502401.7513297156,48076856.0425509
Alex Iwobi,Everton,2021,-0.43681235082727576,0.8413002775892797,29,5,24,0.43681235082727576,12.667558173990997,2494866.920152091,1089788.6843928401,31603871.847392365
Alex Iwobi,Everton,2023,-0.7512943378864044,0.6200056034875483,29,3,26,0.7512943378864044,21.78753579870573,2692249.527410207,2022671.8261206367,58657482.95749846
Alex Iwobi,Fulham,2023,-0.08683593158617235,0.3699994410785402,38,2,36,0.08683593158617235,3.2997654002745493,2692249.527410207,233783.99577509757,8883791.839453708
Alex McCarthy,Southampton,2020,0.3720932351347386,0.31020036151667674,38,3,35,-0.3720932351347386,-14.139542935120065,2397918.6376537364,-892249.3034744638,-33905473.53202962
Alex Mighten,Nott'm Forest,2022,-0.1687940023176025,0.30883047712611617,38,13,25,0.1687940023176025,6.414172088068895,2490503.323836657,420382.02381568146,15974516.904995896
Alex Mighten,Nott'm Forest,2023,-0.012540399839550798,0.3741606150382552,35,3,32,0.012540399839550798,0.4389139943842779,2692249.527410207,33761.885541565665,1181665.9939547984
Alex Oxlade-Chamberlain,Liverpool,2019,0.02622242785591053,0.20754526994514827,38,27,11,-0.02622242785591053,-0.9964522585246001,2498950.381679389,-65528.546099087864,-2490084.7517653387
Alex Oxlade-Chamberlain,Liverpool,2020,0.3726385658390328,0.4356692126974277,37,10,27,-0.3726385658390328,-13.787626936044214,2397918.6376537364,-893556.9621339757,-33061607.598957103
Alex Oxlade-Chamberlain,Liverpool,2022,0.7322339860850366,0.7016826107360162,31,9,22,-0.7322339860850366,-22.699253568636138,2490503.323836657,-1823631.1761709484,-56532566.461299405
Alex Scott,Bournemouth,2023,0.29858635466328287,0.1215372598206856,38,4,34,-0.29858635466328287,-11.34628147720475,2692249.527410207,-803868.9722333597,-30547020.94486767
Alex Scott,Bournemouth,2024,-0.026134223828240183,0.35544375311692855,34,27,7,0.026134223828240183,0.8885636101601662,2706399.23591213,70729.64339990582,2404807.8755967976
Alex Telles,Man United,2020,-0.13816416229897555,0.21670439686278775,38,13,25,0.13816416229897555,5.25023816736107,2397918.6376537364,331306.41983252915,12589643.953636108
Alex Telles,Man United,2021,-0.02039506374652089,0.23885028773670391,36,15,21,0.02039506374652089,0.7342222948747521,2494866.920152091,50882.96987558814,1831786.915521173
Alexander Isak,Newcastle,2022,-0.009432678955591828,0.18223708091987129,38,19,19,0.009432678955591828,0.35844180031248946,2490503.323836657,23492.118291585535,892700.4950802503
Alexander Isak,Newcastle,2023,-0.07433246064870747,0.4399648683278494,32,4,28,0.07433246064870747,2.378638740758639,2692249.527410207,200121.53205272046,6403889.025687055
Alexander Isak,Newcastle,2024,-0.3463687026649438,0.3925598670704465,35,23,12,0.3463687026649438,12.122904593273033,2706399.23591213,937411.9922362796,32809419.72826979
Alexander Tettey,Norwich,2019,-0.22493000060493448,0.2999120891871399,38,3,35,0.22493000060493448,8.54734002298751,2498950.381679389,562088.9108628463,21359378.61278816
