player_id,player_name_rot,team_id,season,n_matches_rot,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity,injury_player_name_raw,beta_unavailable,se_unavailable,n_matches_inj,n_unavail,n_avail,xpts_per_match_present,xpts_season_total,gbp_per_point,value_gbp_per_match,value_gbp_season_total,player_name_inj
7691,Jamal Lewis,Newcastle United,2020,24.0,20.0,0.8333333333333334,10.0,6.0,0.6,7.0,7.0,1.0,-0.4,Jamal Lewis,0.0353492891579118,,38,11,27,-0.0353492891579118,-1.3432729880006515,2363249.5164410057,-83539.19050896855,-3174489.2393408045,Jamal Lewis
7691,Jamal Lewis,Newcastle United,2021,5.0,4.0,0.8,3.0,2.0,0.6666666666666666,2.0,2.0,1.0,-0.3333333333333333,Jamal Lewis,-0.0872205505422682,,31,2,29,0.0872205505422682,2.7038370668103155,2494866.920152091,217603.6663053585,6745713.655466115,Jamal Lewis
7691,Jamal Lewis,Norwich,2019,28.0,25.0,0.8928571428571429,10.0,8.0,0.8,9.0,8.0,0.8888888888888888,-0.0888888888888888,Jamal Lewis,0.1164028022447383,,38,3,35,-0.1164028022447383,-4.423306485300056,2501307.847082495,-291159.2426771558,-11064051.221731924,Jamal Lewis
7692,Tom Trybull,Norwich,2019,16.0,14.0,0.875,5.0,4.0,0.8,4.0,4.0,1.0,-0.1999999999999999,Tom Trybull,0.0806978479868084,,38,10,28,-0.0806978479868084,-3.0665182234987225,2501307.847082495,-201850.1604120744,-7670306.095658828,Tom Trybull
7693,Kenny McLean,Norwich,2021,31.0,29.0,0.935483870967742,9.0,8.0,0.8888888888888888,12.0,11.0,0.9166666666666666,-0.0277777777777777,Kenny McLean,0.1302263199113238,,34,3,31,-0.1302263199113238,-4.427694876985009,2494866.920152091,-324897.3376799053,-11046509.48111678,Kenny McLean
7695,Todd Cantwell,Norwich,2019,37.0,30.0,0.8108108108108109,13.0,12.0,0.9230769230769232,13.0,9.0,0.6923076923076923,0.2307692307692308,Todd Cantwell,0.0113912106056357,,38,8,30,-0.0113912106056357,-0.4328660030141592,2501307.847082495,-28492.92447564609,-1082731.1300745516,Todd Cantwell
7697,Onel Hernández,Norwich,2019,26.0,14.0,0.5384615384615384,9.0,4.0,0.4444444444444444,9.0,5.0,0.5555555555555556,-0.1111111111111111,Onel Hernández,0.0813071144538762,,38,5,33,-0.0813071144538762,-3.0896703492472977,2501307.847082495,-203374.1234071153,-7728216.68947038,Onel Hernández
7698,Leandro Trossard,Brighton,2019,31.0,22.0,0.7096774193548387,12.0,6.0,0.5,12.0,10.0,0.8333333333333334,-0.3333333333333333,Leandro Trossard,-0.1178861572102986,,38,16,22,0.1178861572102986,4.47967397399135,2501307.847082495,294869.5700925208,11205043.66351579,Leandro Trossard
7698,Leandro Trossard,Brighton,2020,35.0,30.0,0.8571428571428571,12.0,10.0,0.8333333333333334,12.0,10.0,0.8333333333333334,0.0,Leandro Trossard,0.0362367062789167,,36,17,19,-0.0362367062789167,-1.304521426041002,2363249.5164410057,-85636.37859106468,-3082909.6292783287,Leandro Trossard
7698,Leandro Trossard,Brighton,2021,34.0,32.0,0.9411764705882352,11.0,10.0,0.9090909090909092,12.0,11.0,0.9166666666666666,-0.0075757575757575,Leandro Trossard,0.0031383677976284,,29,14,15,-0.0031383677976284,-0.0910126661312255,2494866.920152091,-7829.810001573836,-227064.4900456413,Leandro Trossard
7699,Adam Webster,Brighton,2019,31.0,31.0,1.0,11.0,11.0,1.0,9.0,9.0,1.0,0.0,Adam Webster,-0.0931551402716583,,38,19,19,0.0931551402716583,3.539895330323016,2501307.847082495,233009.68335756948,8854367.96758764,Adam Webster
7699,Adam Webster,Brighton,2020,29.0,29.0,1.0,11.0,11.0,1.0,9.0,9.0,1.0,0.0,Adam Webster,0.1041922654924896,,36,21,15,-0.1041922654924896,-3.750921557729628,2363249.5164410057,-246232.3210420191,-8864363.557512688,Adam Webster
7699,Adam Webster,Brighton,2021,22.0,16.0,0.7272727272727273,5.0,3.0,0.6,8.0,7.0,0.875,-0.275,Adam Webster,0.2539934301627074,,29,22,7,-0.2539934301627074,-7.365809474718516,2494866.920152091,-633679.8068488991,-18376714.398618072,Adam Webster
7699,Adam Webster,Brighton,2022,27.0,23.0,0.8518518518518519,9.0,7.0,0.7777777777777778,9.0,7.0,0.7777777777777778,0.0,Adam Webster,0.2850562017300962,,24,11,13,-0.2850562017300962,-6.841348841522311,2490503.323836657,-709933.4178890574,-17038402.02933738,Adam Webster
7699,Adam Webster,Brighton,2023,15.0,13.0,0.8666666666666667,3.0,2.0,0.6666666666666666,7.0,6.0,0.8571428571428571,-0.1904761904761904,Adam Webster,-0.0066154990236218,,23,5,18,0.0066154990236218,0.1521564775433019,2648255.813953488,17519.533751510116,402949.2762847327,Adam Webster
7699,Adam Webster,Brighton,2024,14.0,11.0,0.7857142857142857,4.0,3.0,0.75,4.0,3.0,0.75,0.0,Adam Webster,0.1091231623848748,,27,4,23,-0.1091231623848748,-2.94632538439162,2706399.23591213,-295330.84329874045,-7973932.769065992,Adam Webster
770,Ayoze Pérez,Leicester,2020,25.0,15.0,0.6,7.0,4.0,0.5714285714285714,11.0,6.0,0.5454545454545454,0.0259740259740259,Ayoze Pérez,0.0832635272360193,,38,15,23,-0.0832635272360193,-3.164014034968736,2363249.5164410057,-196772.4904776953,-7477354.638152421,Ayoze Pérez
770,Ayoze Pérez,Leicester,2021,14.0,6.0,0.4285714285714285,5.0,3.0,0.6,2.0,1.0,0.5,0.0999999999999999,Ayoze Pérez,0.0330544553753595,,34,4,30,-0.0330544553753595,-1.123851482762226,2494866.920152091,-82466.4672796281,-2803859.887507356,Ayoze Pérez
770,Ayoze Pérez,Leicester,2022,15.0,8.0,0.5333333333333333,5.0,3.0,0.6,6.0,4.0,0.6666666666666666,-0.0666666666666666,Ayoze Pérez,-0.0050359265065671,,33,2,31,0.0050359265065671,0.1661855747167155,2490503.323836657,12541.99170320258,413885.7262056852,Ayoze Pérez
7701,Moussa Djenepo,Southampton,2019,18.0,10.0,0.5555555555555556,5.0,1.0,0.2,8.0,5.0,0.625,-0.425,Moussa Djenepo,-0.0365367431410132,,38,6,32,0.0365367431410132,1.388396239358504,2501307.847082495,91389.642325454,3472806.4083672524,Moussa Djenepo
7701,Moussa Djenepo,Southampton,2020,27.0,15.0,0.5555555555555556,8.0,6.0,0.75,10.0,4.0,0.4,0.35,Moussa Djenepo,0.1210561732291428,,34,6,28,-0.1210561732291428,-4.115909889790857,2363249.5164410057,-286085.9428459705,-9726922.056762995,Moussa Djenepo
7702,Dean Henderson,Crystal Palace,2023,18.0,18.0,1.0,6.0,6.0,1.0,5.0,5.0,1.0,0.0,Dean Henderson,0.0353319613438257,,38,10,28,-0.0353319613438257,-1.3426145310653794,2648255.813953488,-93568.0720471665,-3555586.7377923266,Dean Henderson
7702,Dean Henderson,Manchester United,2020,13.0,12.0,0.9230769230769232,5.0,5.0,1.0,3.0,3.0,1.0,0.0,Dean Henderson,-0.0093025658061084,,38,4,34,0.0093025658061084,0.3534975006321226,2363249.5164410057,21984.28414294653,835402.797431968,Dean Henderson
7702,Dean Henderson,Nottingham Forest,2022,18.0,18.0,1.0,5.0,5.0,1.0,8.0,8.0,1.0,0.0,Dean Henderson,0.0680322034463516,,38,20,18,-0.0680322034463516,-2.585223730961363,2490503.323836657,-169434.4288110705,-6438508.294820678,Dean Henderson
7703,John Egan,Sheffield United,2019,36.0,36.0,1.0,12.0,12.0,1.0,13.0,13.0,1.0,0.0,John Egan,-0.1073311364827293,,38,4,34,0.1073311364827293,4.078583186343714,2501307.847082495,268468.21392053313,10201792.128980258,John Egan
