Season,Team,n_matches,avg_injured_players,total_injured_players,total_injury_effect_pts_minus_xpts,has_any_injury_data,points_lost_due_to_injuries
2021-2022,Man City,38,6.631578947368421,252,-4.176387222768583,True,4.176387222768583
2021-2022,Man United,38,9.394736842105264,357,-5.916548565588826,True,5.916548565588826
2021-2022,Newcastle,38,5.973684210526316,227,-3.7620630935256685,True,3.7620630935256685
2021-2022,Norwich,38,3.5789473684210527,136,-2.253923263081458,True,2.253923263081458
2021-2022,Southampton,38,4.131578947368421,157,-2.601955531645506,True,2.601955531645506
2021-2022,Tottenham,38,6.973684210526316,265,-4.391835769974899,True,4.391835769974899
2021-2022,Watford,38,3.9210526315789473,149,-2.4693718102877735,True,2.4693718102877735
2021-2022,West Ham,38,2.1052631578947367,80,-1.325837213577328,True,1.325837213577328
2021-2022,Wolves,38,4.868421052631579,185,-3.065998556397571,True,3.065998556397571
2022-2023,Arsenal,38,8.394736842105264,319,-5.286775889139595,True,5.286775889139595
2022-2023,Aston Villa,38,7.7105263157894735,293,-4.855878794726964,True,4.855878794726964
2022-2023,Bournemouth,38,3.0789473684210527,117,-1.9390369248568422,True,1.9390369248568422
2022-2023,Brentford,38,4.552631578947368,173,-2.867122974360972,True,2.867122974360972
2022-2023,Brighton,38,4.368421052631579,166,-2.7511122181729557,True,2.7511122181729557
2022-2023,Chelsea,38,10.657894736842104,405,-6.712050893735223,True,6.712050893735223
2022-2023,Crystal Palace,38,2.289473684210526,87,-1.4418479697653444,True,1.4418479697653444
2022-2023,Everton,38,5.894736842105263,224,-3.7123441980165186,True,3.7123441980165186
2022-2023,Fulham,38,4.7894736842105265,182,-3.0162796608884213,True,3.0162796608884213
2022-2023,Leeds,38,5.052631578947368,192,-3.1820093125855875,True,3.1820093125855875
2022-2023,Leicester,38,6.657894736842105,253,-4.1929601879383,True,4.1929601879383
2022-2023,Liverpool,38,8.552631578947368,325,-5.386213680157895,True,5.386213680157895
2022-2023,Man City,38,4.447368421052632,169,-2.8008311136821056,True,2.8008311136821056
2022-2023,Man United,38,10.157894736842104,386,-6.397164555510608,True,6.397164555510608
2022-2023,Newcastle,38,6.026315789473684,229,-3.7952090238651017,True,3.7952090238651017
2022-2023,Nott'm Forest,38,7.052631578947368,268,-4.441554665484049,True,4.441554665484049
2022-2023,Southampton,38,4.631578947368421,176,-2.916841869870122,True,2.916841869870122
2022-2023,Tottenham,38,4.894736842105263,186,-3.0825715215672878,True,3.0825715215672878
2022-2023,West Ham,38,2.026315789473684,77,-1.2761183180681783,True,1.2761183180681783
2022-2023,Wolves,38,5.052631578947368,192,-3.1820093125855875,True,3.1820093125855875
2023-2024,Arsenal,38,8.31578947368421,316,-5.237056993630445,True,5.237056993630445
2023-2024,Aston Villa,38,11.210526315789474,426,-7.0600831622992715,True,7.0600831622992715
2023-2024,Bournemouth,38,5.394736842105263,205,-3.397457859791903,True,3.397457859791903
2023-2024,Brentford,38,8.657894736842104,329,-5.4525055408367615,True,5.4525055408367615
2023-2024,Brighton,38,8.5,323,-5.353067749818462,True,5.353067749818462
2023-2024,Burnley,38,4.342105263157895,165,-2.734539253003239,True,2.734539253003239
2023-2024,Chelsea,38,12.131578947368421,461,-7.640136943239352,True,7.640136943239352
2023-2024,Crystal Palace,38,5.578947368421052,212,-3.5134686159799196,True,3.5134686159799196
2023-2024,Everton,38,5.605263157894737,213,-3.5300415811496357,True,3.5300415811496357
2023-2024,Fulham,38,5.868421052631579,223,-3.695771232846802,True,3.695771232846802
2023-2024,Liverpool,38,9.0,342,-5.667954088043078,True,5.667954088043078
2023-2024,Luton,38,5.815789473684211,221,-3.6626253025073687,True,3.6626253025073687
2023-2024,Man City,38,5.315789473684211,202,-3.3477389642827533,True,3.3477389642827533
