Season,Team,n_matches,avg_injured_players,total_injured_players,total_injury_effect_pts_minus_xpts,has_any_injury_data,points_lost_due_to_injuries,gbp_per_point,gbp_lost_due_to_injuries
2020-2021,Aston Villa,38,5.552631578947368,211,-3.496895650810203,True,3.496895650810203,2363249.5164410057,8264036.955821868
2020-2021,Brighton,38,9.552631578947368,363,-6.015986356607126,True,6.015986356607126,2363249.5164410057,14217276.848167479
2020-2021,Burnley,38,6.2631578947368425,238,-3.944365710392551,True,3.944365710392551,2363249.5164410057,9321520.35775168
2020-2021,Chelsea,38,5.868421052631579,223,-3.695771232846802,True,3.695771232846802,2363249.5164410057,8734029.578901784
2020-2021,Crystal Palace,38,5.5,209,-3.4637497204707697,True,3.4637497204707697,2363249.5164410057,8185704.851975216
2020-2021,Everton,38,8.447368421052632,321,-5.3199218194790285,True,5.3199218194790285,2363249.5164410057,12572302.66738777
2020-2021,Fulham,38,6.421052631578948,244,-4.04380350141085,True,4.04380350141085,2363249.5164410057,9556516.669291638
2020-2021,Leeds,38,6.894736842105263,262,-4.3421168744657495,True,4.3421168744657495,2363249.5164410057,10261505.603911513
2020-2021,Leicester,38,6.342105263157895,241,-3.994084605901701,True,3.994084605901701,2363249.5164410057,9439018.51352166
2020-2021,Liverpool,38,9.657894736842104,367,-6.082278217285992,True,6.082278217285992,2363249.5164410057,14373941.055860784
2020-2021,Man City,38,7.7105263157894735,293,-4.855878794726964,True,4.855878794726964,2363249.5164410057,11475653.21353463
2020-2021,Man United,38,5.2105263157894735,198,-3.281447103603887,True,3.281447103603887,2363249.5164410057,7754878.280818624
2020-2021,Newcastle,38,6.842105263157895,260,-4.308970944126316,True,4.308970944126316,2363249.5164410057,10183173.500064861
2020-2021,Sheffield Utd,38,5.526315789473684,210,-3.4803226856404863,True,3.4803226856404863,2363249.5164410057,8224870.903898542
2020-2021,Southampton,38,6.368421052631579,242,-4.010657571071417,True,4.010657571071417,2363249.5164410057,9478184.565444985
2020-2021,Tottenham,38,5.289473684210527,201,-3.3311659991130367,True,3.3311659991130367,2363249.5164410057,7872376.436588604
2020-2021,West Brom,38,3.5,133,-2.204204367572308,True,2.204204367572308,2363249.5164410057,5209084.90580241
2020-2021,West Ham,38,3.0526315789473686,116,-1.9224639596871256,True,1.9224639596871256,2363249.5164410057,4543262.023105861
2020-2021,Wolves,38,9.210526315789474,350,-5.80053780940081,True,5.80053780940081,2363249.5164410057,13708118.173164234
2021-2022,Arsenal,38,5.447368421052632,207,-3.4306037901313364,True,3.4306037901313364,2494866.9201520914,8558899.91214706
2021-2022,Aston Villa,38,4.2631578947368425,162,-2.684820357494089,True,2.684820357494089,2494866.9201520914,6698269.496462915
2021-2022,Brentford,38,4.605263157894737,175,-2.900268904700405,True,2.900268904700405,2494866.9201520914,7235784.949882778
2021-2022,Brighton,38,10.31578947368421,392,-6.496602346528907,True,6.496602346528907,2494866.9201520914,16208158.287737425
2021-2022,Burnley,38,6.289473684210527,239,-3.960938675562268,True,3.960938675562268,2494866.9201520914,9882014.874411339
2021-2022,Chelsea,38,7.526315789473684,286,-4.739868038538948,True,4.739868038538948,2494866.9201520914,11825339.975236999
2021-2022,Crystal Palace,38,2.3157894736842106,88,-1.4584209349350608,True,1.4584209349350608,2494866.9201520914,3638566.146226769
2021-2022,Everton,38,6.815789473684211,259,-4.2923979789566,True,4.2923979789566,2494866.9201520914,10708961.725826513
2021-2022,Leeds,38,5.947368421052632,226,-3.745490128355952,True,3.745490128355952,2494866.9201520914,9344499.420991475
2021-2022,Leicester,38,5.684210526315789,216,-3.5797604766587856,True,3.5797604766587856,2494866.9201520914,8931025.995283887
2021-2022,Liverpool,38,7.947368421052632,302,-5.0050354812544136,True,5.0050354812544136,2494866.9201520914,12486897.45636914
2021-2022,Man City,38,6.631578947368421,252,-4.176387222768583,True,4.176387222768583,2494866.9201520914,10419530.327831201
2021-2022,Man United,38,9.394736842105264,357,-5.916548565588826,True,5.916548565588826,2494866.9201520914,14761001.297760868
2021-2022,Newcastle,38,5.973684210526316,227,-3.762063093525669,True,3.762063093525669,2494866.9201520914,9385846.763562236
2021-2022,Norwich,38,3.5789473684210527,136,-2.253923263081458,True,2.253923263081458,2494866.9201520914,5623238.589623189
2021-2022,Southampton,38,4.131578947368421,157,-2.601955531645506,True,2.601955531645506,2494866.9201520914,6491532.783609121
2021-2022,Tottenham,38,6.973684210526316,265,-4.391835769974899,True,4.391835769974899,2494866.9201520914,10957045.781251065
2021-2022,Watford,38,3.9210526315789473,149,-2.469371810287773,True,2.469371810287773,2494866.9201520914,6160754.043043051
2021-2022,West Ham,38,2.1052631578947367,80,-1.325837213577328,True,1.325837213577328,2494866.9201520914,3307787.405660699
2021-2022,Wolves,38,4.868421052631579,185,-3.065998556397571,True,3.065998556397571,2494866.9201520914,7649258.375590366
2022-2023,Arsenal,38,8.394736842105264,319,-5.286775889139595,True,5.286775889139595,2490503.323836657,13166732.92428166
2022-2023,Aston Villa,38,7.7105263157894735,293,-4.855878794726964,True,4.855878794726964,2490503.323836657,12093582.278415445
2022-2023,Bournemouth,38,3.0789473684210527,117,-1.9390369248568424,True,1.9390369248568424,2490503.323836657,4829177.906397977
2022-2023,Brentford,38,4.552631578947368,173,-2.867122974360972,True,2.867122974360972,2490503.323836657,7140579.297494444
2022-2023,Brighton,38,4.368421052631579,166,-2.751112218172956,True,2.751112218172956,2490503.323836657,6851654.123607386
2022-2023,Chelsea,38,10.657894736842104,405,-6.712050893735223,True,6.712050893735223,2490503.323836657,16716385.06060838
2022-2023,Crystal Palace,38,2.289473684210526,87,-1.4418479697653444,True,1.4418479697653444,2490503.323836657,3590927.161167726
2022-2023,Everton,38,5.894736842105263,224,-3.712344198016519,True,3.712344198016519,2490503.323836657,9245605.56438587
2022-2023,Fulham,38,4.789473684210527,182,-3.0162796608884213,True,3.0162796608884213,2490503.323836657,7512054.521063519
2022-2023,Leeds,38,5.052631578947368,192,-3.1820093125855875,True,3.1820093125855875,2490503.323836657,7924804.769473602
2022-2023,Leicester,38,6.657894736842105,253,-4.1929601879383,True,4.1929601879383,2490503.323836657,10442581.28477511
2022-2023,Liverpool,38,8.552631578947368,325,-5.386213680157895,True,5.386213680157895,2490503.323836657,13414383.07332771
2022-2023,Man City,38,4.447368421052632,169,-2.8008311136821056,True,2.8008311136821056,2490503.323836657,6975479.19813041
2022-2023,Man United,38,10.157894736842104,386,-6.397164555510608,True,6.397164555510608,2490503.323836657,15932159.588629222
2022-2023,Newcastle,38,6.026315789473684,229,-3.7952090238651017,True,3.7952090238651017,2490503.323836657,9451980.68859091
2022-2023,Nott'm Forest,38,7.052631578947368,268,-4.441554665484049,True,4.441554665484049,2490503.323836657,11061706.657390237
2022-2023,Southampton,38,4.631578947368421,176,-2.916841869870122,True,2.916841869870122,2490503.323836657,7264404.372017469
2022-2023,Tottenham,38,4.894736842105263,186,-3.082571521567288,True,3.082571521567288,2490503.323836657,7677154.620427554
2022-2023,West Ham,38,2.026315789473684,77,-1.2761183180681783,True,1.2761183180681783,2490503.323836657,3178176.9127576426
2022-2023,Wolves,38,5.052631578947368,192,-3.1820093125855875,True,3.1820093125855875,2490503.323836657,7924804.769473602
2023-2024,Arsenal,38,8.31578947368421,316,-5.237056993630445,True,5.237056993630445,2648255.8139534886,13869066.631387604
2023-2024,Aston Villa,38,11.210526315789474,426,-7.060083162299272,True,7.060083162299272,2648255.8139534886,18696906.281554177
2023-2024,Bournemouth,38,5.394736842105263,205,-3.397457859791903,True,3.397457859791903,2648255.8139534886,8997337.529855885
2023-2024,Brentford,38,8.657894736842104,329,-5.4525055408367615,True,5.4525055408367615,2648255.8139534886,14439629.499134565
2023-2024,Brighton,38,8.5,323,-5.353067749818462,True,5.353067749818462,2648255.8139534886,14176292.79094366
2023-2024,Burnley,38,4.342105263157895,165,-2.734539253003239,True,2.734539253003239,2648255.8139534886,7241759.475249858
2023-2024,Chelsea,38,12.13157894736842,461,-7.640136943239352,True,7.640136943239352,2648255.8139534886,20233037.07933445
2023-2024,Crystal Palace,38,5.578947368421052,212,-3.51346861597992,True,3.51346861597992,2648255.8139534886,9304563.68941194
2023-2024,Everton,38,5.605263157894737,213,-3.530041581149636,True,3.530041581149636,2648255.8139534886,9348453.140777089
2023-2024,Fulham,38,5.868421052631579,223,-3.695771232846802,True,3.695771232846802,2648255.8139534886,9787347.654428596
2023-2024,Liverpool,38,9.0,342,-5.667954088043078,True,5.667954088043078,2648255.8139534886,15010192.366881523
2023-2024,Luton,38,5.815789473684211,221,-3.6626253025073687,True,3.6626253025073687,2648255.8139534886,9699568.751698295
2023-2024,Man City,38,5.315789473684211,202,-3.3477389642827533,True,3.3477389642827533,2648255.8139534886,8865669.175760431
2023-2024,Man United,38,10.078947368421051,383,-6.3474456600014575,True,6.3474456600014575,2648255.8139534886,16809659.872852698
2023-2024,Newcastle,38,7.315789473684211,278,-4.607284317181215,True,4.607284317181215,2648255.8139534886,12201267.47951188
2023-2024,Nott'm Forest,38,4.921052631578948,187,-3.0991444867370044,True,3.0991444867370044,2648255.8139534886,8207327.405283173
2023-2024,Sheffield Utd,38,3.5789473684210527,136,-2.253923263081458,True,2.253923263081458,2648255.8139534886,5968965.385660489
2023-2024,Tottenham,38,8.526315789473685,324,-5.369640714988178,True,5.369640714988178,2648255.8139534886,14220182.24230881
2023-2024,West Ham,38,1.3157894736842106,50,-0.82864825848583,True,0.82864825848583,2648255.8139534886,2194472.5682575325
2023-2024,Wolves,38,2.9473684210526314,112,-1.8561720990082595,True,1.8561720990082595,2648255.8139534886,4915618.552896874
2024-2025,Arsenal,38,8.68421052631579,330,-5.469078506006478,True,5.469078506006478,2706399.2359121297,14801509.889799384
2024-2025,Aston Villa,38,7.105263157894737,270,-4.4747005958234825,True,4.4747005958234825,2706399.2359121297,12110326.273472225
2024-2025,Bournemouth,38,6.421052631578948,244,-4.043803501410851,True,4.043803501410851,2706399.2359121297,10944146.706397122
2024-2025,Brentford,38,10.0,380,-6.2977267644923085,True,6.2977267644923085,2706399.2359121297,17044162.903405353
2024-2025,Brighton,38,12.394736842105264,471,-7.805866594936519,True,7.805866594936519,2706399.2359121297,21125791.388168212
2024-2025,Chelsea,38,10.552631578947368,401,-6.645759033056357,True,6.645759033056357,2706399.2359121297,17986077.169119857
2024-2025,Crystal Palace,38,6.131578947368421,233,-3.861500884543968,True,3.861500884543968,2706399.2359121297,10450763.043403808
2024-2025,Everton,38,5.2105263157894735,198,-3.281447103603887,True,3.281447103603887,2706399.2359121297,8880905.93387963
2024-2025,Fulham,38,4.7105263157894735,179,-2.9665607653792714,True,2.9665607653792714,2706399.2359121297,8028697.788709363
2024-2025,Ipswich,38,6.5,247,-4.09352239692,True,4.09352239692,2706399.2359121297,11078705.887213478
2024-2025,Leicester,38,7.105263157894737,270,-4.474700595823482,True,4.474700595823482,2706399.2359121297,12110326.273472222
2024-2025,Liverpool,38,5.052631578947368,192,-3.1820093125855875,True,3.1820093125855875,2706399.2359121297,8611787.572246915
2024-2025,Man City,38,9.552631578947368,363,-6.015986356607126,True,6.015986356607126,2706399.2359121297,16281660.878779322
2024-2025,Man United,38,6.368421052631579,242,-4.010657571071417,True,4.010657571071417,2706399.2359121297,10854440.585852882
2024-2025,Newcastle,38,6.394736842105263,243,-4.027230536241134,True,4.027230536241134,2706399.2359121297,10899293.646125
2024-2025,Nott'm Forest,38,4.105263157894737,156,-2.58538256647579,True,2.58538256647579,2706399.2359121297,6997077.402450618
2024-2025,Southampton,38,5.894736842105263,224,-3.712344198016519,True,3.712344198016519,2706399.2359121297,10047085.500954736
2024-2025,Tottenham,38,9.63157894736842,366,-6.065705252116276,True,6.065705252116276,2706399.2359121297,16416220.059595682
2024-2025,West Ham,38,3.8947368421052633,148,-2.452798845118057,True,2.452798845118057,2706399.2359121297,6638252.9202736635
2024-2025,Wolves,38,8.605263157894736,327,-5.419359610497328,True,5.419359610497328,2706399.2359121297,14666950.708983026
